mbid,listeners_lastfm
2aab61bc-67f4-4722-8c6e-e1821b2e32a6,949955
4a76400d-283f-492e-9754-18ef41755f81,949359
8be0594f-8c13-46bb-ab06-f93ffba5c776,946946
125948ec-7f91-4d1a-8b83-accbf50fae3d,946262
25b7b584-d952-4662-a8b9-dd8cdfbfeb64,944710
38c5cdab-5d6d-43d1-85b0-dac41bde186e,944524
4fbc55bb-61be-4eb7-b4b4-c08c68b4e060,943618
3599a39e-4e10-4cb5-90d4-c8a015ebc73b,941251
bcb95908-5c6e-453a-97fc-d69003d250ff,940333
f467181e-d5e0-4285-b47e-e853dcc89ee7,936147
9ef8042a-2528-4f5c-b7c1-5e72b1efe170,935198
1d543e07-d0d2-4834-a8db-d65c50c2a856,934924
c3ecef5d-84f3-4942-8c24-0a626343c3f4,933703
c2c70ed6-5f10-445c-969f-2c16bc9a4c2e,933265
092b603f-eb4c-4958-b10e-02420de5885b,929476
1dcc8968-f2cd-441c-beda-6270f70f2863,929370
6e650a01-6489-4dc8-85e1-8ec809dd72a2,929233
7fb57fba-a6ef-44c2-abab-2fa3bdee607e,928843
dff49ff7-90bf-464d-8350-cf30f9f9fad0,928517
b0d36ee2-075a-4fb0-88de-e4e8ebfb59d6,928517
c55193fb-f5d2-4839-a263-4c044fca1456,926332
22dc19af-d085-4c9b-adfb-22ec256251f1,925879
190e78ac-8f44-4bf1-a4ff-95ed9376ad9e,924881
1aff9117-5820-490d-9938-ccad96669292,924709
51b7f46f-6c0f-46f2-9496-08c9ec2624d4,922831
aa266ac7-d919-4132-982e-76cbd95591a7,921407
8a6ccf62-b8fa-46d7-87df-f2dd14e6280d,919410
3c8a8696-e176-4c46-a2d3-48b6b1525c7f,918419
24f8d8a5-269b-475c-a1cb-792990b0b2ee,916239
7509421d-1074-442f-be8f-b526167afcb3,912784
3604c99d-c146-4276-aa0c-9376d333aeb8,912304
c1a61bb0-e4fe-4064-bc8d-954a2dafda79,909800
b9a2a9a6-7a40-48a6-bcb1-8eff5b89ad5b,909099
2c69465c-0f76-45ce-90a2-1ed0fdacc997,908642
588dea29-eea3-456b-a815-3ee04f75c8e7,904279
4ce1c576-305a-4b82-82fa-5e5359056219,903039
5508631d-697f-4839-a669-06637e5bcb90,902941
29eb4497-0bd8-4126-abdf-d8007326ee8b,901118
ff865aa0-4603-4f79-ae8b-8735332e2cfa,897405
